ListPrice,ListingKey,ClosePrice,Latitude,Longitude,PostalCode,CloseDate,BedroomsTotal,BathroomsTotalInteger,LivingArea,LotSizeSquareFeet,DaysOnMarket,Residential
2288000.0,1114680429,2175000.0,34.129940999999995,-118.4261,90210,2025-05-05,3.0,2.0,2247.0,32017.0,18,1
5975000.0,1114670553,5975000.0,34.135406,-118.118478,91106,2025-05-29,4.0,4.0,3993.0,24204.0,1,1
1700000.0,1114650212,1900000.0,34.037751,-118.395258,90034,2025-05-28,3.0,2.0,1829.0,6730.0,2,1
640000.0,1114573617,640000.0,34.247108000000004,-118.42873,91331,2025-05-27,3.0,2.0,1440.0,8395.0,62,1
1000000.0,1114441822,1000000.0,33.98188,-118.356613,90043,2025-05-22,3.0,3.0,1228.0,8086.0,1,1
1540000.0,1114336221,1540000.0,34.266441,-118.918057,93021,2025-05-27,3.0,3.0,2718.0,28314.0,1,1
495990.0,1114319133,554869.0,33.746904,-117.128111,92548,2025-05-30,3.0,3.0,1858.0,4347.0,3,1
2595000.0,1114264134,2800000.0,32.7519485,-117.1826597,92103,2025-05-30,6.0,4.0,3474.0,13336.0,1,1
700000.0,1114250894,700000.0,33.479802,-117.069631,92592,2025-05-30,4.0,3.0,2648.0,6534.0,4,1
870000.0,1114246939,875000.0,33.622840000000004,-117.641489,92692,2025-05-28,2.0,2.0,1431.0,4095.0,2,1
650000.0,1114213912,650000.0,35.26308826,-120.69502465,93405,2025-05-01,2.0,2.0,1175.0,1175.0,16,1
850000.0,1114212175,870000.0,34.148868,-117.588025,91737,2025-05-28,4.0,3.0,2142.0,20160.0,5,1
1288000.0,1114203630,1320000.0,37.31309806,-121.82992412,95121,2025-05-30,5.0,2.0,2025.0,6000.0,6,1
3750000.0,1114200755,3700000.0,34.087982000000004,-118.387138,90069,2025-05-20,3.0,4.0,3096.0,2564.0,1,1
1340000.0,1114195445,1340000.0,34.129111,-118.198357,90041,2025-05-16,2.0,2.0,1352.0,10309.0,1,1
499000.0,1114176707,525000.0,38.01828613,-121.87406361,94565,2025-05-30,3.0,1.0,1063.0,7700.0,3,1
700000.0,1114163056,720000.0,32.961016,-117.054102,92064,2025-05-27,2.0,2.0,976.0,6200.0,5,1
2430000.0,1113976206,2430000.0,34.123876,-118.104931,91108,2025-05-20,3.0,2.0,2141.0,8804.0,1,1
1500000.0,1113908963,818888.0,33.675166,-117.281224,92532,2025-05-30,5.0,3.0,2600.0,10890.0,2,1
1200000.0,1113876968,1306750.0,33.703889000000004,-117.797002,92606,2025-05-27,3.0,2.0,1420.0,5000.0,2,1
2199000.0,1113874958,2207000.0,37.80562143,-121.99403682,94526,2025-05-30,4.0,4.0,3029.0,15000.0,7,1
1550000.0,1113871073,2000000.0,33.646221999999995,-117.905995,92627,2025-05-30,3.0,2.0,1368.0,7590.0,5,1
800000.0,1113857699,860000.0,32.839959,-117.178424,92117,2025-05-30,3.0,2.0,1200.0,6400.0,4,1
3195000.0,1113856056,3715000.0,34.075629,-118.32563600000002,90004,2025-05-28,3.0,3.0,3083.0,7017.0,3,1
3600000.0,1113852282,3300000.0,34.135888,-118.553897,91356,2025-05-23,5.0,7.0,5487.0,18280.0,2,1
921900.0,1113637759,915000.0,37.91435196,-121.62178776,94505,2025-05-27,5.0,3.0,3578.0,7500.0,1,1
975000.0,1113327290,1020000.0,37.97387858,-122.01491464,94519,2025-05-30,3.0,2.0,1989.0,11097.0,3,1
555000.0,1113227159,555000.0,34.932818,-120.43075,93454,2025-05-30,3.0,2.0,1585.0,5663.0,6,1
399900.0,1113195593,399000.0,35.287310999999995,-119.107381,93311,2025-05-29,4.0,2.0,1260.0,8276.0,6,1
1950000.0,1113190982,1805000.0,34.056615,-118.375268,90035,2025-05-06,3.0,2.0,2431.0,6753.0,10,1
1375000.0,1113187472,1475000.0,34.164994,-118.280026,91202,2025-05-30,2.0,2.0,1660.0,11005.0,10,1
888000.0,1113140147,850000.0,34.056399,-117.92088,91790,2025-05-29,3.0,2.0,1257.0,13426.0,3,1
1000000.0,1113137506,1000000.0,34.015771,-118.298798,90037,2025-05-19,6.0,2.0,2000.0,5297.0,1,1
1171000.0,1113135876,1194234.0,38.24161045,-122.63808779,94952,2025-05-23,4.0,4.0,2078.0,4025.0,3,1
849900.0,1113135399,880000.0,32.857949,-116.952313,92040,2025-05-30,3.0,2.0,1575.0,11859.0,6,1
3550000.0,1113132271,3550000.0,34.115105,-118.38836299999998,90046,2025-05-06,3.0,3.0,2690.0,90017.0,1,1
1399950.0,1113128798,1465000.0,37.30471161,-121.93869954,95128,2025-05-27,3.0,2.0,1415.0,5940.0,8,1
375000.0,1113126422,350000.0,37.94981656,-122.35137213,94801,2025-05-30,2.0,1.0,828.0,5000.0,8,1
559000.0,1113115716,590000.0,38.00987561,-121.90554746,94565,2025-05-30,3.0,2.0,1348.0,7200.0,16,1
1598000.0,1113111287,1780000.0,37.22166091,-121.76902698,95139,2025-05-30,4.0,3.0,2301.0,6000.0,3,1
3498000.0,1113104173,3975000.0,37.43837855,-122.18934582,94025,2025-05-27,2.0,2.0,1500.0,10703.0,8,1
1299000.0,1113076318,1350000.0,35.256378000000005,-120.65886299999998,93401,2025-05-30,4.0,4.0,2411.0,6077.0,3,1
3195000.0,1113051995,3195000.0,37.89875542,-122.15223087,94549,2025-05-29,4.0,4.0,4434.0,23940.0,7,1
1050000.0,1113051499,1220000.0,37.56514203,-122.01232755,94536,2025-05-23,3.0,2.0,1219.0,5496.0,3,1
1299000.0,1113049983,1200000.0,37.58862299,-122.36672284,94010,2025-05-28,2.0,1.0,1230.0,4208.0,10,1
2788000.0,1113049707,3100000.0,37.53788496,-122.26914384,94404,2025-05-30,3.0,3.0,2730.0,6115.0,6,1
1350000.0,1113046006,1525000.0,37.29185814,-121.74215713,95135,2025-05-30,2.0,2.0,2034.0,5018.0,6,1
1099000.0,1113045112,1275000.0,34.165737,-118.1044,91104,2025-05-28,2.0,2.0,1916.0,8770.0,11,1
299000.0,1113003435,310000.0,39.52964,-122.210495,95988,2025-05-29,3.0,2.0,1455.0,6970.0,3,1
2499000.0,1112993133,3020000.0,37.46185373,-122.17215894,94025,2025-05-30,3.0,2.0,1480.0,9800.0,6,1
875000.0,1112991558,875000.0,34.198189,-118.524148,91335,2025-05-30,3.0,2.0,1372.0,6728.0,4,1
2395000.0,1112991540,2425000.0,37.51125176,-122.27244134,94002,2025-05-30,3.0,2.0,1370.0,14663.0,7,1
1049000.0,1112990848,1025000.0,34.140095,-118.628499,91302,2025-05-22,3.0,2.0,1168.0,11056.0,13,1
599900.0,1112990449,550000.0,33.888214000000005,-118.135405,90706,2025-05-29,2.0,1.0,840.0,5504.0,8,1
549000.0,1112988488,685000.0,38.04685256,-122.18444811,94569,2025-05-28,2.0,2.0,1451.0,2500.0,6,1
1295000.0,1112987212,1650000.0,37.83741672,-122.25430844,94618,2025-05-29,3.0,2.0,1375.0,3500.0,7,1
980000.0,1112985147,1115000.0,34.101984,-118.289231,90027,2025-05-30,2.0,2.0,1230.0,4502.0,7,1
1110000.0,1112982554,1100000.0,37.96288274,-122.02218553,94518,2025-05-23,4.0,3.0,3081.0,48800.0,13,1
748000.0,1112981240,755000.0,32.791564,-117.015798,92119,2025-05-27,4.0,2.0,1275.0,6400.0,7,1
1250000.0,1112981088,1290000.0,32.82044907,-117.09188216,92124,2025-05-30,3.0,2.0,1681.0,7000.0,4,1
450000.0,1112980958,442000.0,36.810543,-119.809764,93711,2025-05-29,3.0,3.0,1826.0,12604.0,4,1
