Model,LogForm,ScoreType,ScoreValue,max_depth,learning_rate,n_estimators,columns
Decision Tree Regressor,False,MAPE,0.1754364246471171,,,,"['AvgAreaCost', 'PostalCode', 'AvgLivingArea', 'AvgAreaLot', 'DistrictID', 'LivingArea', 'BathroomsTotalInteger', 'BathroomsTotalInteger/BedroomsTotal', 'BedroomsTotal', 'LotSizeSquareFeet', 'FireplaceYN_False', 'FireplaceYN_True', 'PoolPrivateYN_False', 'PoolPrivateYN_True', 'YearBuilt', 'NewConstructionYN_False', 'NewConstructionYN_True']"
Decision Tree Regressor,True,MAPE,0.012367524341723366,,,,"['AvgAreaCost', 'PostalCode', 'AvgLivingArea', 'AvgAreaLot', 'DistrictID', 'LivingArea', 'BathroomsTotalInteger', 'BathroomsTotalInteger/BedroomsTotal', 'BedroomsTotal', 'FireplaceYN_False', 'FireplaceYN_True', 'PoolPrivateYN_False', 'LotSizeSquareFeet', 'YearBuilt']"
Decision Tree Regressor,False,MdAPE,0.11538461538461539,,,,"['AvgAreaCost', 'PostalCode', 'AvgAreaLot', 'AvgLivingArea', 'DistrictID', 'LivingArea', 'BathroomsTotalInteger', 'BathroomsTotalInteger/BedroomsTotal', 'LotSizeSquareFeet', 'BedroomsTotal', 'LotSizeSquareFeet/DaysOnMarket', 'PoolPrivateYN_False', 'FireplaceYN_True', 'FireplaceYN_False', 'LivingArea/LotSizeSquareFeet', 'LivingArea/DaysOnMarket', 'YearBuilt', 'ViewYN_True', 'ViewYN_False']"
Decision Tree Regressor,True,MdAPE,0.008244967306090034,,,,"['AvgAreaCost', 'PostalCode', 'AvgAreaLot', 'AvgLivingArea', 'DistrictID', 'LivingArea', 'BathroomsTotalInteger', 'LotSizeSquareFeet', 'FireplaceYN_False', 'FireplaceYN_True', 'BathroomsTotalInteger/BedroomsTotal', 'BedroomsTotal', 'YearBuilt', 'PoolPrivateYN_False', 'NewConstructionYN_True']"
Decision Tree Regressor,False,R2 Score,0.7089856433127484,,,,"['AvgAreaCost', 'AvgLivingArea', 'AvgAreaLot', 'PostalCode', 'BathroomsTotalInteger', 'DistrictID', 'LivingArea', 'BathroomsTotalInteger/BedroomsTotal', 'BedroomsTotal', 'PoolPrivateYN_False', 'FireplaceYN_False', 'FireplaceYN_True', 'PoolPrivateYN_True', 'YearBuilt', 'ViewYN_True', 'ViewYN_False', 'SaleMonth', 'NewConstructionYN_True', 'NewConstructionYN_False', 'DaysOnMarket', 'LotSizeSquareFeet']"
Decision Tree Regressor,True,R2 Score,0.8609477422715637,,,,"['AvgAreaCost', 'PostalCode', 'AvgLivingArea', 'AvgAreaLot', 'DistrictID', 'LivingArea', 'BathroomsTotalInteger', 'BathroomsTotalInteger/BedroomsTotal', 'BedroomsTotal', 'PoolPrivateYN_False', 'FireplaceYN_False', 'FireplaceYN_True', 'PoolPrivateYN_True', 'YearBuilt', 'ViewYN_False', 'NewConstructionYN_True', 'ViewYN_True', 'SaleMonth', 'NewConstructionYN_False', 'DaysOnMarket', 'LotSizeSquareFeet', 'LivingArea/DaysOnMarket']"
Gradient Boosting Regressor,False,MAPE,0.1418725654523823,6.0,0.1,200.0,"['AvgAreaCost', 'PostalCode', 'DistrictID', 'AvgLivingArea', 'AvgAreaLot', 'LivingArea', 'BathroomsTotalInteger', 'BathroomsTotalInteger/BedroomsTotal', 'BedroomsTotal', 'LotSizeSquareFeet', 'FireplaceYN_False', 'FireplaceYN_True', 'PoolPrivateYN_False', 'LivingArea/LotSizeSquareFeet', 'LivingArea/DaysOnMarket', 'PoolPrivateYN_True', 'LotSizeSquareFeet/DaysOnMarket', 'YearBuilt', 'NewConstructionYN_False', 'NewConstructionYN_True', 'ViewYN_False', 'DaysOnMarket']"
Gradient Boosting Regressor,True,MAPE,0.009059527466803342,6.0,0.1,200.0,"['AvgAreaCost', 'PostalCode', 'DistrictID', 'AvgLivingArea', 'AvgAreaLot', 'LivingArea', 'BathroomsTotalInteger', 'BathroomsTotalInteger/BedroomsTotal', 'LotSizeSquareFeet', 'BedroomsTotal', 'FireplaceYN_False', 'FireplaceYN_True', 'LivingArea/DaysOnMarket', 'PoolPrivateYN_False', 'LivingArea/LotSizeSquareFeet', 'LotSizeSquareFeet/DaysOnMarket', 'YearBuilt', 'PoolPrivateYN_True', 'DaysOnMarket', 'NewConstructionYN_True', 'ViewYN_False']"
Gradient Boosting Regressor,False,MdAPE,0.09353631873268176,6.0,0.1,200.0,"['AvgAreaCost', 'PostalCode', 'DistrictID', 'AvgLivingArea', 'AvgAreaLot', 'LivingArea', 'BathroomsTotalInteger', 'BathroomsTotalInteger/BedroomsTotal', 'LotSizeSquareFeet', 'BedroomsTotal', 'PoolPrivateYN_False', 'LivingArea/LotSizeSquareFeet', 'FireplaceYN_True', 'FireplaceYN_False', 'YearBuilt', 'LivingArea/DaysOnMarket']"
Gradient Boosting Regressor,True,MdAPE,0.006386170606053227,6.0,0.1,200.0,"['AvgAreaCost', 'PostalCode', 'DistrictID', 'AvgLivingArea', 'AvgAreaLot', 'LotSizeSquareFeet', 'LivingArea', 'BathroomsTotalInteger', 'FireplaceYN_False', 'FireplaceYN_True', 'BathroomsTotalInteger/BedroomsTotal', 'BedroomsTotal', 'LivingArea/DaysOnMarket', 'YearBuilt', 'LotSizeSquareFeet/DaysOnMarket', 'PoolPrivateYN_False', 'LivingArea/LotSizeSquareFeet', 'NewConstructionYN_True', 'DaysOnMarket', 'PoolPrivateYN_True', 'ViewYN_False']"
Gradient Boosting Regressor,False,R2 Score,0.8262,6.0,0.1,200.0,"['LivingArea', 'AvgAreaCost', 'BathroomsTotalInteger', 'AvgLivingArea', 'PostalCode', 'BathroomsTotalInteger/BedroomsTotal', 'DistrictID', 'AvgAreaLot', 'BedroomsTotal', 'PoolPrivateYN_False', 'LotSizeSquareFeet', 'FireplaceYN_False', 'FireplaceYN_True', 'LivingArea/DaysOnMarket', 'LivingArea/LotSizeSquareFeet', 'PoolPrivateYN_True', 'YearBuilt', 'LotSizeSquareFeet/DaysOnMarket', 'ViewYN_True', 'ViewYN_False']"
Gradient Boosting Regressor,True,R2 Score,0.9305,6.0,0.1,200.0,"['AvgAreaCost', 'PostalCode', 'DistrictID', 'AvgLivingArea', 'LivingArea', 'BathroomsTotalInteger', 'AvgAreaLot', 'BathroomsTotalInteger/BedroomsTotal', 'BedroomsTotal', 'LotSizeSquareFeet', 'LivingArea/DaysOnMarket', 'PoolPrivateYN_False', 'FireplaceYN_False', 'FireplaceYN_True', 'LivingArea/LotSizeSquareFeet', 'PoolPrivateYN_True', 'LotSizeSquareFeet/DaysOnMarket', 'YearBuilt', 'DaysOnMarket']"
Histogram-based Gradient Boosting Regressor,False,MAPE,0.14535852809755415,6.0,0.25,,"['AvgAreaCost', 'PostalCode', 'DistrictID', 'AvgLivingArea', 'LivingArea', 'AvgAreaLot', 'BathroomsTotalInteger', 'BathroomsTotalInteger/BedroomsTotal', 'BedroomsTotal', 'FireplaceYN_False', 'FireplaceYN_True', 'LotSizeSquareFeet', 'PoolPrivateYN_False', 'LivingArea/LotSizeSquareFeet', 'LivingArea/DaysOnMarket', 'PoolPrivateYN_True', 'YearBuilt']"
Histogram-based Gradient Boosting Regressor,True,MAPE,0.00905715013723278,6.0,0.25,,"['AvgAreaCost', 'PostalCode', 'DistrictID', 'AvgLivingArea', 'AvgAreaLot', 'LivingArea', 'BathroomsTotalInteger', 'BathroomsTotalInteger/BedroomsTotal', 'BedroomsTotal', 'LotSizeSquareFeet', 'FireplaceYN_False', 'FireplaceYN_True', 'LivingArea/DaysOnMarket', 'PoolPrivateYN_False', 'LivingArea/LotSizeSquareFeet', 'YearBuilt', 'PoolPrivateYN_True', 'LotSizeSquareFeet/DaysOnMarket', 'DaysOnMarket', 'NewConstructionYN_True', 'ViewYN_False', 'ViewYN_True']"
